DateTime,RI et Autre,Domicile et Inconnu,RPA,CHSLD et CH,Cummulative,Daily Deaths
2020-03-17 0:00,0,0,1,0,1,1
2020-03-18 0:00,0,1,1,1,3,2
2020-03-19 0:00,0,1,1,1,3,0
2020-03-20 0:00,0,1,2,1,4,1
2020-03-21 0:00,0,1,3,1,5,1
2020-03-22 0:00,0,1,3,1,5,0
2020-03-23 0:00,0,3,3,2,8,3
2020-03-24 0:00,0,4,4,3,11,3
2020-03-25 0:00,1,4,6,7,18,7
2020-03-26 0:00,1,9,8,9,27,9
2020-03-27 0:00,1,9,9,11,30,3
2020-03-28 0:00,1,11,11,20,43,13
2020-03-29 0:00,1,15,12,26,54,11
2020-03-30 0:00,1,18,13,35,67,13
2020-03-31 0:00,3,20,13,46,82,15
2020-04-01 0:00,3,21,15,60,99,17
2020-04-02 0:00,4,24,18,75,121,22
2020-04-03 0:00,5,29,25,100,159,38
2020-04-04 0:00,7,33,35,128,203,44
2020-04-05 0:00,9,37,43,162,251,48
2020-04-06 0:00,11,41,48,202,302,51
2020-04-07 0:00,12,44,56,244,356,54
2020-04-08 0:00,12,52,61,291,416,60
2020-04-09 0:00,16,61,67,340,484,68
2020-04-10 0:00,19,67,77,388,551,67
2020-04-11 0:00,24,68,87,442,621,70
2020-04-12 0:00,27,74,98,510,709,88
2020-04-13 0:00,31,86,114,573,804,95
2020-04-14 0:00,35,96,129,635,895,91
2020-04-15 0:00,37,107,145,705,994,99
2020-04-16 0:00,38,112,158,781,1089,95
2020-04-17 0:00,43,123,169,841,1176,87
2020-04-18 0:00,45,129,183,917,1274,98
2020-04-19 0:00,48,136,201,1015,1400,126
2020-04-20 0:00,51,139,211,1102,1503,103
2020-04-21 0:00,55,143,225,1195,1618,115
2020-04-22 0:00,58,158,240,1279,1735,117
2020-04-23 0:00,65,166,255,1366,1852,117
2020-04-24 0:00,68,178,269,1453,1968,116
2020-04-25 0:00,69,189,290,1544,2092,124
2020-04-26 0:00,71,200,306,1626,2203,111
2020-04-27 0:00,81,205,323,1709,2318,115
2020-04-28 0:00,87,217,343,1809,2456,138
2020-04-29 0:00,95,236,371,1906,2608,152
2020-04-30 0:00,104,249,391,1985,2729,121
2020-05-01 0:00,110,257,421,2079,2867,138
2020-05-02 0:00,120,263,440,2159,2982,115
2020-05-03 0:00,128,272,461,2220,3081,99
2020-05-04 0:00,130,284,480,2296,3190,109
2020-05-05 0:00,135,292,505,2359,3291,101
2020-05-06 0:00,144,298,524,2420,3386,95
2020-05-07 0:00,150,306,550,2473,3479,93
2020-05-08 0:00,151,311,567,2541,3570,91
2020-05-09 0:00,157,322,592,2598,3669,99
2020-05-10 0:00,164,327,606,2664,3761,92
2020-05-11 0:00,169,337,625,2723,3854,93
2020-05-12 0:00,177,344,645,2772,3938,84
2020-05-13 0:00,181,349,658,2817,4005,67
2020-05-14 0:00,182,357,677,2874,4090,85
2020-05-15 0:00,188,362,690,2934,4174,84
2020-05-16 0:00,195,371,701,2987,4254,80
2020-05-17 0:00,202,382,709,3027,4320,66
2020-05-18 0:00,206,388,720,3075,4389,69
2020-05-19 0:00,207,398,729,3113,4447,58
2020-05-20 0:00,215,404,739,3160,4518,71
2020-05-21 0:00,221,408,753,3197,4579,61
2020-05-22 0:00,223,417,765,3244,4649,70
2020-05-23 0:00,225,421,774,3292,4712,63
2020-05-24 0:00,229,428,785,3334,4776,64
2020-05-25 0:00,231,433,796,3374,4834,58
2020-05-26 0:00,233,440,805,3420,4898,64
2020-05-27 0:00,237,447,817,3457,4958,60
2020-05-28 0:00,240,455,829,3513,5037,79
2020-05-29 0:00,241,460,834,3561,5096,59
2020-05-30 0:00,243,467,841,3585,5136,40
2020-05-31 0:00,244,471,848,3609,5172,36
2020-06-01 0:00,245,473,852,3638,5208,36
2020-06-02 0:00,246,477,856,3663,5242,34
2020-06-03 0:00,250,485,861,3680,5276,34
2020-06-04 0:00,251,487,864,3690,5292,16
2020-06-05 0:00,252,491,869,3709,5321,29
2020-06-06 0:00,253,496,871,3726,5346,25
2020-06-07 0:00,254,497,875,3742,5368,22
2020-06-08 0:00,254,498,879,3754,5385,17
2020-06-09 0:00,256,502,881,3765,5404,19
2020-06-10 0:00,258,503,884,3778,5423,19
2020-06-11 0:00,259,507,886,3793,5445,22
2020-06-12 0:00,260,510,890,3803,5463,18
2020-06-13 0:00,261,512,894,3813,5480,17
2020-06-14 0:00,261,514,899,3817,5491,11
2020-06-15 0:00,261,519,903,3826,5509,18
2020-06-16 0:00,262,522,903,3830,5517,8
2020-06-17 0:00,262,524,906,3834,5526,9
2020-06-18 0:00,263,526,907,3836,5532,6
2020-06-19 0:00,264,527,908,3846,5545,13
2020-06-20 0:00,264,528,908,3849,5549,4
2020-06-21 0:00,264,531,910,3854,5559,10
2020-06-22 0:00,264,533,912,3858,5567,8
2020-06-23 0:00,265,537,913,3865,5580,13
2020-06-24 0:00,267,540,914,3874,5595,15
2020-06-25 0:00,267,541,915,3879,5602,7
2020-06-26 0:00,269,541,915,3880,5605,3
2020-06-27 0:00,269,541,916,3883,5609,4
2020-06-28 0:00,269,542,916,3886,5613,4
2020-06-29 0:00,269,546,918,3890,5623,10
2020-06-30 0:00,269,551,919,3892,5631,8
2020-07-01 0:00,269,552,921,3895,5637,6
2020-07-02 0:00,270,555,923,3897,5645,8
2020-07-03 0:00,272,556,924,3897,5649,4
2020-07-04 0:00,272,557,926,3898,5653,4
2020-07-05 0:00,272,557,928,3899,5656,3
2020-07-06 0:00,273,559,930,3901,5663,7
2020-07-07 0:00,273,559,932,3902,5666,3
2020-07-08 0:00,274,560,932,3904,5670,4
2020-07-09 0:00,274,562,934,3905,5675,5
2020-07-10 0:00,275,563,935,3905,5678,3
2020-07-11 0:00,275,566,935,3906,5682,4
2020-07-12 0:00,275,566,935,3907,5683,1
2020-07-13 0:00,275,567,935,3908,5685,2
2020-07-14 0:00,275,567,935,3909,5686,1
2020-07-15 0:00,275,568,936,3912,5691,5
2020-07-16 0:00,275,570,937,3913,5695,4
2020-07-17 0:00,275,571,937,3914,5697,2
2020-07-18 0:00,275,572,938,3914,5699,2
2020-07-19 0:00,275,572,939,3914,5700,1
2020-07-20 0:00,275,572,939,3914,5700,0
2020-07-21 0:00,275,573,940,3914,5702,2
2020-07-22 0:00,275,575,940,3915,5705,3
2020-07-23 0:00,275,576,940,3916,5707,2
2020-07-24 0:00,276,576,940,3916,5708,1
2020-07-25 0:00,276,577,940,3916,5709,1
2020-07-26 0:00,276,577,940,3916,5709,0
2020-07-27 0:00,276,579,940,3916,5711,2
2020-07-28 0:00,277,579,940,3916,5712,1
2020-07-29 0:00,277,579,940,3916,5712,0
2020-07-30 0:00,277,580,941,3918,5716,4
2020-07-31 0:00,277,580,942,3918,5717,1
2020-08-01 0:00,277,580,942,3920,5719,2
2020-08-02 0:00,277,580,942,3922,5721,2
2020-08-03 0:00,277,580,942,3922,5721,0
2020-08-04 0:00,277,580,942,3922,5721,0
2020-08-05 0:00,277,581,943,3923,5724,3
2020-08-06 0:00,277,581,943,3926,5727,3
2020-08-07 0:00,277,582,943,3926,5728,1
2020-08-08 0:00,277,583,943,3927,5730,2
2020-08-09 0:00,277,583,943,3929,5732,2
2020-08-10 0:00,277,583,944,3930,5734,2
2020-08-11 0:00,277,586,944,3930,5737,3
2020-08-12 0:00,277,588,944,3931,5740,3
2020-08-13 0:00,277,588,945,3931,5741,1
2020-08-14 0:00,277,589,945,3932,5743,2
2020-08-15 0:00,277,591,945,3933,5746,3
2020-08-16 0:00,277,593,946,3934,5750,4
2020-08-17 0:00,277,593,947,3935,5752,2
2020-08-18 0:00,277,593,947,3936,5753,1
2020-08-19 0:00,277,595,948,3936,5756,3
2020-08-20 0:00,278,595,948,3937,5758,2
2020-08-21 0:00,280,596,949,3937,5762,4
2020-08-22 0:00,280,596,949,3937,5762,0
2020-08-23 0:00,281,597,949,3938,5765,3
2020-08-24 0:00,281,597,950,3939,5767,2
2020-08-25 0:00,281,597,950,3939,5767,0
2020-08-26 0:00,281,597,950,3940,5768,1
2020-08-27 0:00,281,597,950,3940,5768,0
2020-08-28 0:00,282,600,950,3942,5774,6
2020-08-29 0:00,282,601,951,3942,5776,2
2020-08-30 0:00,282,601,951,3943,5777,1
2020-08-31 0:00,282,601,952,3943,5778,1
2020-09-01 0:00,282,601,952,3943,5778,0
2020-09-02 0:00,282,601,952,3944,5779,1
2020-09-03 0:00,282,601,953,3945,5781,2
2020-09-04 0:00,282,601,953,3945,5781,0
2020-09-05 0:00,282,602,953,3945,5782,1
2020-09-06 0:00,282,602,953,3945,5782,0
2020-09-07 0:00,282,603,954,3945,5784,2
2020-09-08 0:00,282,603,954,3945,5784,0
2020-09-09 0:00,283,604,956,3945,5788,4
2020-09-10 0:00,283,604,956,3946,5789,1
2020-09-11 0:00,283,604,956,3946,5789,0
2020-09-12 0:00,284,604,957,3946,5791,2
2020-09-13 0:00,285,604,958,3947,5794,3
2020-09-14 0:00,286,604,961,3947,5798,4
2020-09-15 0:00,286,604,963,3948,5801,3
2020-09-16 0:00,286,606,963,3949,5804,3
2020-09-17 0:00,287,606,964,3950,5807,3
2020-09-18 0:00,288,606,967,3952,5813,6
2020-09-19 0:00,289,607,970,3953,5819,6
2020-09-20 0:00,289,607,972,3953,5821,2
2020-09-21 0:00,290,608,972,3953,5823,2
2020-09-22 0:00,292,609,972,3953,5826,3
2020-09-23 0:00,292,610,972,3956,5830,4
2020-09-24 0:00,293,610,974,3959,5836,6
2020-09-25 0:00,293,611,975,3959,5838,2
2020-09-26 0:00,294,613,977,3960,5844,6
2020-09-27 0:00,294,613,977,3964,5848,4
2020-09-28 0:00,294,613,982,3967,5856,8
2020-09-29 0:00,294,615,983,3972,5864,8
2020-09-30 0:00,294,619,989,3975,5877,13
2020-10-01 0:00,294,623,991,3979,5887,10
2020-10-02 0:00,294,624,994,3982,5894,7
2020-10-03 0:00,295,626,996,3986,5903,9
2020-10-04 0:00,295,629,997,3992,5913,10
2020-10-05 0:00,296,633,1000,3992,5921,8
2020-10-06 0:00,296,635,1004,3997,5932,11
2020-10-07 0:00,296,645,1005,4001,5947,15
2020-10-08 0:00,298,648,1006,4006,5958,11
2020-10-09 0:00,298,650,1007,4009,5964,6
2020-10-10 0:00,299,655,1013,4014,5981,17
2020-10-11 0:00,299,659,1016,4019,5993,12
2020-10-12 0:00,301,664,1017,4021,6003,10
2020-10-13 0:00,301,664,1019,4029,6013,10
2020-10-14 0:00,302,669,1022,4039,6032,19
2020-10-15 0:00,303,670,1024,4045,6042,10
2020-10-16 0:00,306,674,1027,4055,6062,20
2020-10-17 0:00,306,678,1029,4056,6069,7
2020-10-18 0:00,306,681,1032,4060,6079,10
2020-10-19 0:00,308,689,1035,4068,6100,21
2020-10-20 0:00,308,693,1039,4072,6112,12
2020-10-21 0:00,308,706,1043,4077,6134,22
2020-10-22 0:00,309,714,1047,4082,6152,18
2020-10-23 0:00,309,718,1049,4091,6167,15
2020-10-24 0:00,309,726,1054,4097,6186,19
2020-10-25 0:00,311,733,1056,4102,6202,16
2020-10-26 0:00,312,746,1057,4104,6219,17
2020-10-27 0:00,314,750,1062,4111,6237,18
2020-10-28 0:00,315,758,1069,4118,6260,23
2020-10-29 0:00,316,761,1071,4128,6276,16
2020-10-30 0:00,318,771,1073,4140,6302,26
2020-10-31 0:00,319,779,1078,4156,6332,30
2020-11-01 0:00,321,784,1080,4167,6352,20
2020-11-02 0:00,322,788,1082,4171,6363,11
2020-11-03 0:00,324,794,1086,4179,6383,20
2020-11-04 0:00,324,797,1096,4189,6406,23
2020-11-05 0:00,324,802,1099,4201,6426,20
2020-11-06 0:00,325,808,1103,4216,6452,26
2020-11-07 0:00,325,812,1108,4228,6473,21
2020-11-08 0:00,325,815,1115,4247,6502,29
2020-11-09 0:00,330,824,1124,4255,6533,31
2020-11-10 0:00,331,833,1129,4272,6565,32
2020-11-11 0:00,332,839,1138,4286,6595,30
2020-11-12 0:00,334,844,1140,4312,6630,35
2020-11-13 0:00,336,848,1142,4322,6648,18
2020-11-14 0:00,339,852,1146,4336,6673,25
2020-11-15 0:00,342,852,1151,4353,6698,25
2020-11-16 0:00,342,858,1156,4367,6723,25
2020-11-17 0:00,346,862,1159,4386,6753,30
2020-11-18 0:00,349,869,1173,4399,6790,37
2020-11-19 0:00,351,878,1181,4408,6818,28
2020-11-20 0:00,354,879,1191,4420,6844,26
2020-11-21 0:00,356,888,1199,4429,6872,28
2020-11-22 0:00,357,899,1208,4440,6904,32
2020-11-23 0:00,358,905,1217,4448,6928,24
2020-11-24 0:00,360,913,1224,4470,6967,39
2020-11-25 0:00,364,923,1235,4474,6996,29
2020-11-26 0:00,367,929,1241,4488,7025,29
2020-11-27 0:00,368,934,1252,4496,7050,25
2020-11-28 0:00,371,940,1259,4507,7077,27
2020-11-29 0:00,371,949,1275,4515,7110,33
2020-11-30 0:00,371,953,1285,4532,7141,31
2020-12-01 0:00,372,963,1291,4539,7165,24
2020-12-02 0:00,374,969,1300,4556,7199,34
2020-12-03 0:00,375,980,1310,4573,7238,39
2020-12-04 0:00,376,991,1323,4583,7273,35
2020-12-05 0:00,377,999,1331,4599,7306,33
2020-12-06 0:00,379,1001,1339,4614,7333,27
2020-12-07 0:00,380,1008,1348,4632,7368,35
2020-12-08 0:00,381,1020,1360,4649,7410,42
2020-12-09 0:00,383,1023,1371,4663,7440,30
2020-12-10 0:00,383,1031,1379,4674,7467,27
2020-12-11 0:00,388,1043,1389,4690,7510,43
2020-12-12 0:00,392,1055,1401,4700,7548,38
2020-12-13 0:00,395,1062,1407,4716,7580,32
2020-12-14 0:00,398,1078,1417,4733,7626,46
2020-12-15 0:00,398,1092,1431,4743,7664,38
2020-12-16 0:00,399,1100,1437,4756,7692,28
2020-12-17 0:00,401,1112,1452,4777,7742,50
2020-12-18 0:00,403,1120,1459,4792,7774,32
2020-12-19 0:00,403,1132,1467,4802,7804,30
2020-12-20 0:00,404,1144,1477,4814,7839,35
2020-12-21 0:00,405,1152,1490,4826,7873,34
2020-12-22 0:00,409,1165,1503,4848,7925,52
2020-12-23 0:00,410,1173,1514,4871,7968,43
2020-12-24 0:00,411,1180,1524,4886,8001,33
2020-12-25 0:00,413,1189,1542,4899,8043,42
2020-12-26 0:00,414,1198,1553,4920,8085,42
2020-12-27 0:00,418,1207,1565,4937,8127,42
2020-12-28 0:00,419,1220,1579,4952,8170,43
2020-12-29 0:00,423,1234,1587,4967,8211,41
2020-12-30 0:00,425,1249,1601,4988,8263,52
2020-12-31 0:00,426,1267,1611,4996,8300,37
2021-01-01 0:00,431,1273,1620,5007,8331,31
2021-01-02 0:00,435,1284,1634,5021,8374,43
2021-01-03 0:00,437,1298,1643,5035,8413,39
2021-01-04 0:00,439,1316,1659,5051,8465,52
2021-01-05 0:00,440,1329,1671,5072,8512,47
2021-01-06 0:00,443,1343,1686,5084,8556,44
2021-01-07 0:00,445,1361,1696,5098,8600,44
2021-01-08 0:00,449,1371,1711,5113,8644,44
2021-01-09 0:00,455,1383,1722,5126,8686,42
2021-01-10 0:00,457,1402,1730,5135,8724,38
2021-01-11 0:00,460,1413,1741,5148,8762,38
2021-01-12 0:00,461,1432,1753,5163,8809,47
2021-01-13 0:00,464,1456,1769,5180,8869,60
2021-01-14 0:00,465,1468,1788,5198,8919,50
2021-01-15 0:00,466,1478,1803,5211,8958,39
2021-01-16 0:00,467,1490,1814,5225,8996,38
2021-01-17 0:00,469,1499,1819,5237,9024,28
2021-01-18 0:00,469,1506,1823,5242,9040,16
